,Weight
ADBE,0.015858644777158332
AMD,0.016678542463965666
ABNB,0.0
GOOGL,0.06741659921893828
AMZN,0.06006380488563914
AEP,0.001188446502550088
AMGN,0.009983079169306523
ADI,0.01350671370759995
ANSS,0.004973526783257866
AAPL,0.11714034262026188
AMAT,0.005593421956689279
ARM,0.0010731537692563245
ASML,0.010203450739806363
AZN,0.004251363981886001
TEAM,0.0006917268003230057
ADSK,0.00444971418501288
ADP,0.0180385485811503
BKR,0.012209683565708432
BIIB,0.012135840446353819
BKNG,0.0007377515723822158
AVGO,0.022208483133644076
CDNS,0.00046684419133999816
CDW,0.0036892475061346946
CHTR,0.003786549437694569
CTAS,0.005716713864065545
CSCO,0.016020680165203156
CCEP,0.0021186083487228402
CMCSA,0.018103700049353636
CEG,0.0036389282093878057
CPRT,0.0
CSGP,0.0005850399301648353
COST,0.02285818941935351
CRWD,0.000395669310746702
CSX,0.0
DDOG,0.004182771765454384
DXCM,0.003027785667524435
DLTR,0.0012629180152104224
EA,0.015977423788735474
EXC,0.0023416753340880004
FAST,0.005261264767142715
FTNT,0.004004825814553968
GEHC,0.001960783187733781
GILD,0.007897085647008667
GFS,0.0040078184473961755
HON,0.010341731953552702
ILMN,0.00799986491359395
INTC,0.0015382905947085052
INTU,0.006860351422238198
ISRG,0.011538613614186802
KDP,0.00488022183032689
KLAC,0.012349374557998227
KHC,0.0
LRCX,0.001063925660513212
LULU,0.004111256735836031
MAR,0.007973904534193622
MRVL,0.0004836098648114074
MELI,0.004466059991626289
META,0.038047484229971486
MCHP,0.0010628779226666606
MU,0.006630381343230944
MSFT,0.1100936350032656
MRNA,0.003344984442696361
MDLZ,0.007633737351598459
MDB,0.0
MNST,3.1156785216930896e-05
NFLX,0.013200393690184309
NVDA,0.04904279003528005
NXPI,0.010902601291773294
ORLY,0.0
ODFL,0.0025590020912257014
PCAR,0.0
PANW,0.0035059678707988007
PAYX,0.0017883235661529141
PYPL,0.006984019042095514
PDD,0.005110010941520092
PEP,0.027381551792851885
QCOM,0.006894408454512878
REGN,0.0017301072327077028
ROP,0.0018062079782313735
ROST,0.009522454789151065
SBUX,0.0026207165343766865
SNPS,0.011911990209415975
TMUS,0.017002924379522263
TSLA,0.03596941462435999
TXN,0.005907709094983911
TTD,0.00331068563725861
VRTX,0.006648319447896485
WBD,0.002837139284709401
WDAY,0.007204437530853
ZS,0.0
